2015/01/25 07:16:58.408 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:13.416 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:28.420 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:43.428 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:58.439 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:13.448 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:28.451 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:43.456 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:58.468 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:13.471 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:28.478 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:43.489 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:58.492 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:13.501 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:28.515 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:43.520 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:58.525 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:13.530 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:28.554 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:43.567 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:58.571 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:22:13.581 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:22:28.589 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:22:43.589 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:22:58.599 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:23:13.606 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:23:28.617 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:23:43.618 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:23:58.625 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:24:13.634 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:24:28.644 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:24:43.649 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:24:58.654 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:25:13.661 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:25:28.671 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:25:43.678 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:25:58.683 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:26:13.695 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:26:28.699 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:26:43.711 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:26:58.716 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:27:13.723 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:27:28.729 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:27:43.734 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:27:58.742 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:28:13.755 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:28:28.763 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:28:43.768 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:28:58.775 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:29:13.780 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:29:28.786 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:29:43.795 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:29:58.801 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:30:13.815 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:30:28.814 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:30:43.825 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:30:58.833 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:31:13.839 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:31:28.848 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:31:43.856 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:31:58.864 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:32:13.865 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:32:28.873 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:32:43.880 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:32:58.890 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:33:13.896 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:33:28.906 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:33:43.912 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:33:58.918 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:34:13.924 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:34:28.937 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:34:43.944 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:34:58.949 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:35:13.957 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:35:28.964 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:35:43.970 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:35:58.975 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:36:13.986 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:36:28.991 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:36:44.001 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:36:59.005 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:37:14.017 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:37:29.025 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:37:44.027 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:37:59.036 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:38:14.043 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:38:29.055 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:38:44.059 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:38:59.068 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:39:14.077 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:39:29.080 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:39:44.089 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:39:59.096 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:40:14.100 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:40:29.108 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:40:44.117 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:40:59.125 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:41:14.130 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:41:29.139 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:41:44.146 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:41:59.158 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:42:14.158 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:42:29.166 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:42:44.173 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:42:59.182 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:43:14.193 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:43:29.194 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:43:44.202 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:43:59.209 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:44:14.222 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:44:29.226 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:44:44.234 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:44:59.243 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:45:14.248 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:45:29.257 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:45:44.264 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:45:59.272 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:46:14.274 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:46:29.285 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:46:44.292 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:46:59.299 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:47:14.310 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:47:29.313 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:47:44.319 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:47:59.327 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:48:14.336 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:48:29.343 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:48:44.350 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:48:59.362 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:49:14.365 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:49:29.372 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:49:44.379 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:49:59.388 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:50:14.393 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:50:29.401 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:50:44.412 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:50:59.419 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:51:14.424 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:51:29.430 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:51:44.437 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:51:59.443 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:52:14.454 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:52:29.462 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:52:44.465 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:52:59.474 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:53:14.479 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:53:29.491 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:53:44.500 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:53:59.501 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:54:14.514 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:54:29.521 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:54:44.526 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:54:59.534 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:55:14.540 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:55:29.544 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:55:44.556 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:55:59.562 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:56:14.569 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:56:29.577 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:56:44.584 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:56:59.594 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:57:14.597 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:57:29.608 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:57:44.611 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:57:59.619 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:58:14.628 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:58:29.635 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:58:44.639 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:58:59.646 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:59:14.661 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 08:10:52.667 -----------
2015/01/25 08:10:52.669 API InitInstance 
2015/01/25 08:10:52.670 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 08:26:06.058 -----------
2015/01/25 08:26:06.060 API InitInstance 
2015/01/25 08:26:06.061 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 08:26:20.343 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 08:26:35.610 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 08:28:05.299 -----------
2015/01/25 08:28:05.301 API InitInstance 
2015/01/25 08:28:05.302 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:43:12.087 -----------
2015/01/25 09:43:12.088 API InitInstance 
2015/01/25 09:43:12.089 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:43:24.013 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:45:36.027 -----------
2015/01/25 09:45:36.028 API InitInstance 
2015/01/25 09:45:36.029 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:45:51.007 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
